Date,"Dead Hang 
Set 1 (secs)","Dead Hang 
Set 2 (secs)","Dead Hang 
Set 3 (secs)","Average Dead 
Hang (secs)","Maximum 
Pull-Ups","Left Forearm 
Circumference (cm)","Right Forearm 
Circumference (cm)","Left Biceps 
Circumference (cm)","Right Biceps
Circumference (cm)","Lats Spread 
Width (cm)",Weight (kg),"Perceived 
Difficulty (1-10)",
12/3/2025,66,48,50,54.66666667,0,25,26,28,29,44,61,9,
12/4/2025,40,47,30,39,0,25,26,28,29,44,60,10,Saket sa kamay shet
12/5/2025,55,45,40,46.66666667,0,25,26,28,29,44,60,9,
